Comment,Description,Designator,Footprint,Quantity
Factory Harness Input,TE Connectivity  1376111-2,J1,,1
Display Connector,Custom Crimped TE Connectivity  1318917-1 to solid core wire,J2,,1
EN Input,Phoenix Connect,J3,1757242,1
RGBS Input,Phoenix Connect,J4,1757271,1
10 kOhms,,R1,0805,1
TS5V330D,,U1,SOIC127P600X175-16N,1
L78L05CD13TR,,U2,SOIC127P600X175-8N,1
